iter	Passed	Remaining
0	145	144992
1	147	73540
2	149	49579
3	150	37594
4	152	30397
5	154	25618
6	156	22195
7	158	19623
8	160	17623
9	161	16024
10	163	14714
11	165	13619
12	167	12692
13	168	11899
14	170	11211
15	172	10610
16	174	10078
17	176	9605
18	177	9188
19	179	8814
20	181	8473
21	183	8161
22	185	7885
23	187	7624
24	189	7379
25	191	7157
26	192	6950
27	194	6756
28	196	6577
29	198	6410
30	200	6259
31	202	6112
32	203	5975
33	205	5846
34	207	5722
35	209	5605
36	211	5495
37	212	5391
38	214	5293
39	216	5199
40	218	5109
41	220	5023
42	222	4941
43	223	4862
44	225	4787
45	227	4715
46	229	4646
47	231	4582
48	232	4519
49	234	4458
50	236	4399
51	238	4343
52	240	4288
53	241	4235
54	243	4185
55	245	4138
56	247	4091
57	249	4044
58	250	4000
59	252	3957
60	254	3916
61	256	3875
62	258	3838
63	259	3801
64	263	3788
65	265	3753
66	267	3719
67	268	3685
68	270	3653
69	272	3621
70	274	3589
71	276	3559
72	277	3529
73	279	3501
74	281	3472
75	283	3444
76	285	3418
77	286	3392
78	288	3367
79	290	3342
80	292	3318
81	294	3294
82	296	3270
83	297	3247
84	299	3224
85	301	3203
86	303	3182
87	304	3160
88	306	3141
89	308	3123
90	310	3104
91	312	3084
92	314	3065
93	316	3046
94	317	3027
95	319	3009
96	321	2993
97	324	2983
98	326	2969
99	328	2952
100	329	2936
101	331	2920
102	333	2904
103	335	2888
104	337	2873
105	338	2858
106	340	2843
107	342	2828
108	344	2813
109	345	2799
110	347	2785
111	349	2771
112	351	2757
113	353	2748
114	355	2737
115	357	2725
116	359	2714
117	361	2702
118	363	2690
119	365	2677
120	366	2665
121	368	2653
122	370	2642
123	372	2630
124	374	2619
125	375	2607
126	377	2596
127	379	2585
128	381	2574
129	383	2564
130	385	2554
131	386	2544
132	388	2533
133	390	2523
134	392	2513
135	394	2503
136	395	2493
137	397	2484
138	399	2476
139	401	2466
140	403	2457
141	405	2447
142	406	2438
143	408	2429
144	410	2420
145	412	2411
146	414	2402
147	415	2393
148	417	2384
149	419	2376
150	421	2368
151	422	2359
152	424	2351
153	426	2342
154	428	2334
155	430	2327
156	431	2319
157	433	2311
158	435	2303
159	437	2296
160	439	2288
161	440	2280
162	442	2273
163	444	2266
164	446	2258
165	448	2251
166	449	2244
167	451	2237
168	453	2229
169	455	2223
170	457	2216
171	458	2209
172	460	2203
173	462	2196
174	464	2189
175	466	2182
176	468	2176
177	469	2169
178	471	2162
179	473	2156
180	475	2151
181	477	2147
182	481	2148
183	483	2142
184	484	2136
185	486	2130
186	488	2124
187	490	2119
188	492	2113
189	494	2107
190	496	2102
191	498	2096
192	500	2090
193	501	2085
194	503	2079
195	505	2074
196	507	2068
197	509	2063
198	511	2057
199	513	2052
200	514	2046
201	516	2041
202	518	2036
203	520	2031
204	522	2026
205	524	2021
206	526	2016
207	528	2011
208	530	2006
209	532	2001
210	534	1996
211	535	1991
212	538	1989
213	546	2006
214	549	2004
215	551	2000
216	553	1997
217	556	1996
218	558	1991
219	561	1989
220	563	1985
221	565	1981
222	567	1976
223	568	1971
224	570	1965
225	572	1960
226	574	1955
227	576	1950
228	578	1946
229	579	1941
230	581	1936
231	583	1931
232	585	1926
233	587	1921
234	588	1916
235	590	1911
236	592	1906
237	594	1901
238	595	1897
239	597	1892
240	599	1888
241	601	1884
242	603	1879
243	605	1875
244	607	1870
245	608	1866
246	610	1862
247	612	1857
248	614	1853
249	616	1849
250	618	1845
251	620	1841
252	622	1837
253	624	1833
254	626	1829
255	627	1825
256	629	1820
257	631	1816
258	633	1812
259	635	1807
260	636	1803
261	638	1799
262	640	1795
263	642	1791
264	644	1786
265	645	1782
266	647	1778
267	649	1774
268	651	1770
269	653	1765
270	655	1762
271	657	1759
272	659	1755
273	660	1751
274	662	1747
275	664	1743
276	666	1739
277	668	1735
278	670	1731
279	671	1727
280	673	1723
281	675	1720
282	677	1716
283	679	1712
284	681	1708
285	683	1705
286	684	1701
287	686	1697
288	688	1693
289	690	1689
290	692	1686
291	693	1682
292	695	1678
293	697	1674
294	699	1671
295	701	1669
296	703	1666
297	705	1662
298	707	1659
299	709	1655
300	711	1651
301	712	1647
302	714	1644
303	717	1641
304	719	1638
305	721	1635
306	722	1631
307	724	1628
308	726	1624
309	728	1621
310	730	1617
311	732	1614
312	733	1610
313	735	1607
314	737	1603
315	739	1600
316	741	1597
317	743	1594
318	745	1590
319	747	1588
320	749	1585
321	751	1583
322	754	1580
323	756	1578
324	758	1575
325	761	1573
326	763	1570
327	765	1568
328	767	1565
329	769	1562
330	771	1559
331	773	1556
332	776	1554
333	778	1551
334	780	1549
335	782	1546
336	784	1543
337	786	1541
338	789	1538
339	791	1535
340	793	1533
341	795	1530
342	797	1527
343	799	1525
344	801	1522
345	803	1519
346	806	1517
347	808	1514
348	810	1511
349	812	1508
350	814	1506
351	816	1503
352	818	1500
353	820	1497
354	822	1494
355	824	1491
356	826	1488
357	828	1485
358	830	1482
359	831	1478
360	833	1475
361	835	1473
362	837	1469
363	839	1466
364	841	1463
365	843	1460
366	844	1457
367	846	1454
368	848	1451
369	850	1448
370	852	1445
